battery_pct,drain_rate_pct_min,screen_on,gps_active,charging,eta_minutes,historical_drain_rate,risk_level
95,0.2,1,1,0,60,0.25,0
85,0.3,1,1,0,90,0.3,0
70,0.4,1,1,0,120,0.35,0
50,0.5,1,1,0,80,0.4,0
40,0.6,1,1,0,45,0.5,0
30,0.5,1,1,0,30,0.45,0
25,0.8,1,1,0,20,0.6,0
100,0.1,1,1,1,180,0.2,0
60,0.0,1,1,1,120,0.3,0
15,0.2,1,1,1,90,0.3,0
80,0.3,0,1,0,150,0.3,0
12,0.9,1,1,0,25,0.7,1
15,1.2,1,1,0,35,0.8,1
20,1.5,1,1,0,50,1.0,1
18,1.0,1,1,0,40,0.9,1
22,1.2,1,1,0,60,1.1,1
25,1.4,1,1,0,75,1.2,1
30,1.6,1,1,0,90,1.3,1
35,1.8,1,1,0,110,1.4,1
40,2.0,1,1,0,130,1.5,1
10,1.0,1,1,0,30,0.8,2
8,1.2,1,1,0,40,0.9,2
12,1.5,1,1,0,60,1.1,2
15,1.8,1,1,0,90,1.2,2
20,2.2,1,1,0,120,1.5,2
5,0.5,1,1,0,20,0.5,2
7,0.8,1,1,0,45,0.7,2
6,1.0,1,1,0,60,0.8,2
14,2.0,1,1,0,100,1.4,2
18,2.5,1,1,0,150,1.6,2
90,0.25,1,1,0,120,0.2,0
75,0.35,1,1,0,140,0.3,0
65,0.45,1,1,0,100,0.4,0
55,0.55,1,1,0,80,0.5,0
45,0.65,1,1,0,60,0.6,0
35,0.75,1,1,0,40,0.7,0
28,0.85,1,1,0,25,0.8,0
22,0.95,1,1,0,18,0.9,0
18,0.6,1,1,0,15,0.6,0
14,0.5,1,1,0,10,0.5,0
95,0.2,0,1,0,200,0.2,0
80,0.3,0,1,0,180,0.3,0
65,0.4,0,1,0,150,0.35,0
50,0.5,0,1,0,110,0.4,0
35,0.6,0,1,0,70,0.5,0
25,0.7,0,1,0,40,0.6,0
20,0.8,0,1,0,30,0.7,0
15,0.5,0,1,0,15,0.5,0
10,0.4,0,1,0,10,0.4,0
90,0.1,1,1,1,300,0.2,0
50,0.0,1,1,1,200,0.3,0
25,0.0,1,1,1,150,0.3,0
10,0.0,1,1,1,100,0.3,0
5,0.0,1,1,1,50,0.3,0
16,1.1,1,1,0,30,0.9,1
19,1.3,1,1,0,45,1.0,1
24,1.5,1,1,0,60,1.1,1
29,1.7,1,1,0,75,1.2,1
34,1.9,1,1,0,90,1.3,1
39,2.1,1,1,0,105,1.4,1
44,2.3,1,1,0,120,1.5,1
14,1.4,1,1,0,45,1.0,2
11,1.3,1,1,0,50,1.0,2
9,1.4,1,1,0,60,1.1,2
13,1.7,1,1,0,80,1.3,2
16,2.0,1,1,0,100,1.5,2
19,2.4,1,1,0,130,1.7,2
22,2.6,1,1,0,160,1.8,2
4,0.6,1,1,0,30,0.6,2
6,0.9,1,1,0,50,0.8,2
8,1.1,1,1,0,70,1.0,2
88,0.22,1,1,0,110,0.22,0
72,0.32,1,1,0,130,0.31,0
58,0.42,1,1,0,95,0.41,0
48,0.52,1,1,0,75,0.51,0
38,0.62,1,1,0,55,0.61,0
28,0.72,1,1,0,35,0.71,0
21,0.82,1,1,0,22,0.81,0
17,0.7,1,1,0,18,0.7,0
13,0.6,1,1,0,12,0.6,0
82,0.25,0,1,0,170,0.25,0
68,0.35,0,1,0,140,0.35,0
52,0.45,0,1,0,105,0.45,0
38,0.55,0,1,0,75,0.55,0
26,0.65,0,1,0,45,0.65,0
18,0.75,0,1,0,25,0.75,0
14,0.65,0,1,0,15,0.65,0
9,0.55,0,1,0,10,0.55,0
13,1.0,1,1,0,25,0.8,1
17,1.2,1,1,0,38,0.9,1
21,1.4,1,1,0,52,1.0,1
26,1.6,1,1,0,68,1.1,1
31,1.8,1,1,0,82,1.2,1
36,2.0,1,1,0,98,1.3,1
41,2.2,1,1,0,112,1.4,1
9,1.1,1,1,0,35,0.8,2
12,1.4,1,1,0,55,1.0,2
15,1.7,1,1,0,75,1.2,2
18,2.1,1,1,0,110,1.5,2
21,2.5,1,1,0,140,1.7,2
3,0.5,1,1,0,25,0.5,2
5,0.8,1,1,0,40,0.7,2
7,1.0,1,1,0,60,0.9,2
