user_id,trip_duration_mins,departure_hour,historical_avg_latency_sec,sound_frequency_hz,vibration_enabled,prev_snooze_count,vehicle_speed_kmh,target_wake_latency_sec
USER_01,45.0,8,18.5,520,1,0,45.0,15.2
USER_01,120.0,22,25.0,520,1,0,60.0,32.0
USER_01,240.0,2,38.0,650,1,1,72.0,45.5
USER_01,360.0,1,52.0,650,1,1,65.0,68.0
USER_02,90.0,14,120.0,440,0,1,50.0,135.0
USER_02,180.0,23,145.0,440,0,2,65.0,160.2
USER_02,300.0,0,170.0,520,1,2,70.0,185.0
USER_02,420.0,3,195.0,750,1,3,60.0,210.5
USER_03,60.0,10,12.0,880,1,0,35.0,10.5
USER_03,110.0,18,14.0,880,1,0,40.0,12.8
USER_03,210.0,21,18.0,880,1,0,55.0,20.1
USER_04,150.0,19,45.0,520,1,0,50.0,42.0
USER_04,280.0,22,65.0,650,1,1,68.0,78.5
USER_04,380.0,2,88.0,650,1,2,75.0,105.0
USER_05,40.0,9,22.0,440,0,0,30.0,24.0
USER_05,95.0,17,28.0,520,1,0,45.0,30.5
USER_05,190.0,20,35.0,520,1,0,58.0,40.2
USER_06,200.0,23,130.0,440,0,2,62.0,142.0
USER_06,310.0,1,155.0,520,1,2,70.0,168.0
USER_06,450.0,3,180.0,750,1,3,65.0,198.5
USER_07,50.0,11,15.0,650,1,0,38.0,14.0
USER_07,130.0,16,19.0,650,1,0,48.0,18.5
USER_07,260.0,22,32.0,750,1,1,66.0,36.0
USER_08,160.0,21,75.0,520,0,1,55.0,82.0
USER_08,290.0,0,98.0,650,1,1,68.0,112.0
USER_08,410.0,2,125.0,750,1,2,74.0,145.0
USER_09,70.0,13,20.0,520,1,0,42.0,18.0
USER_09,140.0,18,24.0,520,1,0,52.0,22.5
USER_09,250.0,23,38.0,650,1,1,64.0,44.0
USER_10,220.0,22,110.0,440,0,1,60.0,122.0
USER_10,340.0,1,140.0,520,1,2,68.0,152.0
USER_10,460.0,4,168.0,750,1,3,62.0,186.0
USER_11,35.0,7,10.0,880,1,0,28.0,9.2
USER_11,85.0,15,12.5,880,1,0,42.0,11.5
USER_11,175.0,19,16.0,880,1,0,54.0,15.0
USER_12,145.0,20,55.0,520,1,0,48.0,58.0
USER_12,270.0,23,78.0,650,1,1,65.0,88.0
USER_12,390.0,2,102.0,750,1,2,72.0,118.0
USER_13,65.0,12,16.0,520,1,0,36.0,14.5
USER_13,125.0,17,21.0,520,1,0,46.0,20.0
USER_13,230.0,21,30.0,650,1,0,60.0,32.5
USER_14,195.0,22,125.0,440,0,1,58.0,138.0
USER_14,320.0,1,150.0,520,1,2,66.0,162.0
USER_14,440.0,3,175.0,750,1,3,64.0,192.0
USER_15,55.0,10,14.0,650,1,0,34.0,12.5
USER_15,115.0,16,18.0,650,1,0,44.0,16.0
USER_15,225.0,20,26.0,750,1,0,58.0,28.5
USER_01,80.0,14,20.0,520,1,0,48.0,19.0
USER_01,160.0,20,30.0,650,1,0,62.0,34.0
USER_01,290.0,23,48.0,650,1,1,70.0,56.0
USER_02,110.0,15,128.0,440,0,1,52.0,140.0
USER_02,210.0,22,152.0,520,1,2,64.0,165.0
USER_02,330.0,1,178.0,650,1,2,68.0,192.0
USER_03,75.0,11,13.0,880,1,0,38.0,11.0
USER_03,135.0,17,15.5,880,1,0,48.0,14.2
USER_03,240.0,20,19.5,880,1,0,58.0,22.0
USER_04,175.0,18,50.0,520,1,0,52.0,48.0
USER_04,310.0,23,72.0,650,1,1,66.0,84.0
USER_04,410.0,1,95.0,750,1,2,70.0,110.0
USER_05,50.0,8,24.0,440,0,0,32.0,22.0
USER_05,110.0,16,30.0,520,1,0,44.0,28.0
USER_05,210.0,19,38.0,520,1,0,56.0,42.0
USER_06,225.0,21,138.0,440,0,2,60.0,148.0
USER_06,340.0,0,162.0,520,1,2,68.0,175.0
USER_06,470.0,4,188.0,750,1,3,66.0,205.0
USER_07,65.0,10,16.0,650,1,0,40.0,15.0
USER_07,145.0,15,21.0,650,1,0,50.0,20.0
USER_07,280.0,21,35.0,750,1,1,64.0,38.0
